variant,block,outcome,term,coef,se,ci_low,ci_high,p,n_obs,n_countries,years,r2_within,note,p_bh,p_wcb
longdiff5,bracket,d5_out_anaemia_wra_fs_pct,d5_feat_gd_stock_anaemia_policies_lag3,-0.05778608933461966,0.0904319332206308,-0.23502942149938727,0.11945724283014797,0.5228223275711588,749,49,2008-2023,0.47305072782455193,5-year differences,,0.506
ldv,bracket,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.02483658319718056,0.017442147181187233,-0.05902256348535436,0.009349397090993243,0.15446363993504786,994,49,2003-2023,0.9992593836939819,lagged outcome instead of country effects (year effects kept); with FE this brackets the effect,,0.161
ctx_all,context,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.051987920230001414,0.16161675875474557,-0.36919737665044505,0.2652215361904422,0.7477777920982276,931,46,2003-2023,0.10507564463594021,main spec + malaria incidence + fertility + urbanisation (complete World Bank series),,0.749
ctx_malaria,context,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.03684562820925596,0.161093344768689,-0.35302673238266014,0.2793354759641482,0.8191390699475161,931,46,2003-2023,0.10290061831575481,"main spec + malaria incidence per 1,000 population at risk (WHO via World Bank SH.MLR.INCD.P3)",,0.818
ctx_fertility,context,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.1309946191437081,0.19382589169710807,-0.5113857370358785,0.24939649874846234,0.4993139108445952,994,49,2003-2023,0.037771212165206736,main spec + total fertility rate (World Bank SP.DYN.TFRT.IN),,0.491
ctx_urban,context,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.20645743301654876,0.20387920419975136,-0.606578581545575,0.19366371551247744,0.31149501015716585,994,49,2003-2023,0.03799506067411118,"main spec + urban population, % of total (World Bank SP.URB.TOTL.IN.ZS)",,0.311
ctx_hiv,context,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.012074106512923479,0.1780540038276491,-0.36155590461321985,0.33740769158737294,0.9459517996961406,910,45,2003-2023,0.03912313730156014,"main spec + HIV prevalence, % of population 15–49 (World Bank SH.DYN.AIDS.ZS)",,0.944
ctx_sanitation,context,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.22231361346614287,0.1907141758250972,-0.5966043512592564,0.15197712432697064,0.2440452309893435,982,49,2003-2023,0.018503126061787167,"main spec + people using at least basic sanitation, % (WHO/UNICEF JMP via World Bank SH.STA.BASS.ZS)",,0.247
team_unemployment,team,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.17080228621909482,0.22484381503032208,-0.6120808467067038,0.27047627426851417,0.4476633752339714,972,48,2003-2023,0.028193783877212497,"main spec + unemployment, % of labour force, ILO modelled (team file, World Bank SL.UEM.TOTL.ZS) (the team's ask)",,0.461
team_employment,team,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.17294895574663596,0.22828468361062518,-0.6209805662736175,0.27508265478034555,0.44888731099406587,972,48,2003-2023,0.016926866380095218,"main spec + employment-to-population ratio 15+, ILO modelled (World Bank SL.EMP.TOTL.SP.ZS) (the team's ask)",,0.459
impl_sth,implementation,out_anaemia_wra_fs_pct,feat_sth_pc_coverage_sac_pct_lag3,0.0010105868949777442,0.003907948368539482,-0.006662528598075517,0.008683702388031006,0.7960239407562213,744,46,2006-2023,0.0035782452351332816,"national coverage of preventive chemotherapy for soil-transmitted helminths, school-age children, % (WHO PCT databank; 0 = no treatment reported in a year the country required PC) lagged 3 y as the exposure (implementation, not policy on paper)",,0.782
impl_sth_with_policy,implementation,out_anaemia_wra_fs_pct,feat_sth_pc_coverage_sac_pct_lag3,0.0009987546326170817,0.0038879715265947436,-0.006635157158046811,0.008632666423280973,0.7973468606688192,744,46,2006-2023,0.0036291308645750586,the same with the policy dose alongside; the reported term is the coverage,,0.788
alt_logstock_anaemia_policies,alt_policy,out_anaemia_wra_fs_pct,feat_gd_logstock_anaemia_policies_lag3,-0.5657275933732735,0.5406096700081792,-1.626694330404287,0.4952391436577399,0.295621641215559,994,49,2003-2023,0.02024328378276341,log(1 + anaemia-cluster policies active) lagged 3 y instead of the main dose,,0.314
alt_team_anemia_programming_intensity,alt_policy,out_anaemia_wra_fs_pct,feat_gifna_anemia_programming_intensity_lag3,-0.17676692339101893,0.11878918629070874,-0.4098951531755799,0.056361306393542004,0.13707332360564517,994,49,2003-2023,0.042764651929761865,team composite: anaemia programming intensity (sum of six flag counts) lagged 3 y instead of the main dose,,0.153
alt_team_anemia_programming_intensity_trend,alt_policy,out_anaemia_wra_fs_pct,feat_gifna_anemia_programming_intensity_lag3,0.04217536642485599,0.030549281458070482,-0.017700124986539424,0.1020508578362514,0.1674117674740988,994,49,2003-2023,0.010848145604485326,team composite: anaemia programming intensity (sum of six flag counts) lagged 3 y plus a linear trend per country,,
alt_stock_anaemia,alt_policy,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_lag3,-0.08347574104407258,0.11893935499057239,-0.3168986825297692,0.14994720044162402,0.482959318279617,994,49,2003-2023,0.014415169066254174,"anaemia-cluster records active, all three registry files lagged 3 y instead of the main dose",,0.514
alt_logstock_anaemia,alt_policy,out_anaemia_wra_fs_pct,feat_gd_logstock_anaemia_lag3,-0.277817617046247,0.41283516910450563,-1.088022107635228,0.5323868735427342,0.5011472544990496,994,49,2003-2023,0.013184964395745569,"log(1 + anaemia-cluster records active, all files) lagged 3 y instead of the main dose",,0.539
alt_any_anaemia_policies,alt_policy,out_anaemia_wra_fs_pct,feat_gd_any_anaemia_policies_lag3,0.8106254221064839,0.6691135865701077,-0.5025350669311337,2.1237859111441013,0.22601715874312167,994,49,2003-2023,0.02388133728521802,"any anaemia-cluster policy ever adopted (0/1, absorbing) lagged 3 y instead of the main dose",,0.199
alt_any_anaemia_policies_trend,alt_policy,out_anaemia_wra_fs_pct,feat_gd_any_anaemia_policies_lag3,-0.7164459889523491,0.2484608989754174,-1.203420402510612,-0.2294715753940862,0.003932374847185189,994,49,2003-2023,0.06804281206404739,"any anaemia-cluster policy ever adopted (0/1, absorbing) lagged 3 y plus a linear trend per country",,
alt_any_fortification,alt_policy,out_anaemia_wra_fs_pct,feat_gd_any_fortification_lag3,-0.49276243576307854,0.8344682052098866,-2.130437560635086,1.1449126891089287,0.5549928404632065,994,49,2003-2023,0.013450150514415005,"any fortification record ever started (0/1, absorbing) lagged 3 y instead of the main dose",,0.56
alt_any_fortification_trend,alt_policy,out_anaemia_wra_fs_pct,feat_gd_any_fortification_lag3,0.6670648268065058,0.32762338033511984,0.02493480085640276,1.3091948527566089,0.04174311499123274,994,49,2003-2023,0.02816684363428057,"any fortification record ever started (0/1, absorbing) lagged 3 y plus a linear trend per country",,
alt_team_policy_count_active,alt_policy,out_anaemia_wra_fs_pct,feat_gifna_policy_count_active_lag3,-0.015688254927982644,0.09296847684335471,-0.19814237477705057,0.16676586492108528,0.8660317451893107,994,49,2003-2023,0.01060049543259134,"active policies, any topic (team table) lagged 3 y instead of the main dose",,0.861
outcome_out_anaemia_pregnant_pct,outcome_swap,out_anaemia_pregnant_pct,feat_gd_stock_anaemia_policies_lag3,-0.04732012072812114,0.1140750345646094,-0.2711966510848249,0.1765564096285826,0.6783731858421602,994,49,2003-2023,0.0021433609983674273,"outcome swapped: Anaemia, pregnant women (%) — WHO 2025 via UNICEF Aug-2025",0.7982572338043039,0.663
outcome_out_women_underweight_pct,outcome_swap,out_women_underweight_pct,feat_gd_stock_anaemia_policies_lag3,0.05762416515891969,0.06197055629960909,-0.0640037503224407,0.1792520806402801,0.35269757890028974,947,49,2003-2022,0.03846427881834835,"outcome swapped: Women underweight, BMI<18.5 (%) — NCD-RisC via UNICEF Aug-2025",0.7982572338043039,0.344
outcome_out_women_overweight_pct,outcome_swap,out_women_overweight_pct,feat_gd_stock_anaemia_policies_lag3,-0.11699089238362002,0.12799258617312606,-0.3681984396911131,0.13421665492387302,0.3609447972899882,947,49,2003-2022,0.010606750314217206,"outcome swapped: Women overweight, BMI≥25 (%) — NCD-RisC via UNICEF Aug-2025",0.7982572338043039,0.356
outcome_out_lbw_pct,outcome_swap,out_lbw_pct,feat_gd_stock_anaemia_policies_lag3,-0.012383518672089928,0.04842545830156692,-0.10749870597596548,0.0827316686317856,0.7982572338043039,621,35,2003-2020,0.012014030953183763,outcome swapped: Low birthweight (%) — UNICEF-WHO via FAOSTAT FS 21049 (to 2020),0.7982572338043039,0.79
outcome_out_women_index,outcome_swap,out_women_index,feat_gd_stock_anaemia_policies_lag3,-0.005210680734946092,0.007629377649990572,-0.020184651526850807,0.009763290056958623,0.4948024723803608,947,49,2003-2022,0.006968762793047145,outcome swapped: Women's nutrition summary index (mean z-score of four women's indicators; higher = worse),0.7982572338043039,0.502
survey_anchored,anchor,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.03574014744967137,0.27833290727094856,-0.6089775004740986,0.5374972055747559,0.8988535846272692,80,33,2003-2023,0.1312696958159114,only country-years with a DHS survey that measured women's haemoglobin (the estimates are anchored there),,0.833
income_only,reference,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.2087678274982607,1.3853809503186036,-1.509627042129081,3.9271626971256026,0.38312385764587065,1135,49,2000-2023,0.006971661871184587,log GDP pc only — the reported term is the INCOME coefficient (reference row),,0.402
